state_tax,social_security,medicare,state
Alabama,0.062,0.0145,0.05
Alaska,0.062,0.0145,0.0
Arizona,0.062,0.0145,0.025
Arkansas,0.062,0.0145,0.05
California,0.062,0.0145,0.08
Colorado,0.062,0.0145,0.045
Connecticut,0.062,0.0145,0.05
Delaware,0.062,0.0145,0.052
Florida,0.062,0.0145,0.0
Georgia,0.062,0.0145,0.0575
Hawaii,0.062,0.0145,0.08
Idaho,0.062,0.0145,0.06
Illinois,0.062,0.0145,0.0495
Indiana,0.062,0.0145,0.0323
Iowa,0.062,0.0145,0.06
Kansas,0.062,0.0145,0.057
Kentucky,0.062,0.0145,0.05
Louisiana,0.062,0.0145,0.06
Maine,0.062,0.0145,0.0715
Maryland,0.062,0.0145,0.0575
Massachusetts,0.062,0.0145,0.05
Michigan,0.062,0.0145,0.0425
Minnesota,0.062,0.0145,0.0785
Mississippi,0.062,0.0145,0.05
Missouri,0.062,0.0145,0.054
Montana,0.062,0.0145,0.0675
Nebraska,0.062,0.0145,0.06
Nevada,0.062,0.0145,0.0
New Hampshire,0.062,0.0145,0.0
New Jersey,0.062,0.0145,0.0637
New Mexico,0.062,0.0145,0.049
New York,0.062,0.0145,0.0649
North Carolina,0.062,0.0145,0.0525
North Dakota,0.062,0.0145,0.029
Ohio,0.062,0.0145,0.035
Oklahoma,0.062,0.0145,0.05
Oregon,0.062,0.0145,0.09
Pennsylvania,0.062,0.0145,0.0307
Rhode Island,0.062,0.0145,0.0599
South Carolina,0.062,0.0145,0.07
South Dakota,0.062,0.0145,0.0
Tennessee,0.062,0.0145,0.0
Texas,0.062,0.0145,0.0
Utah,0.062,0.0145,0.0495
Vermont,0.062,0.0145,0.0875
Virginia,0.062,0.0145,0.0575
Washington,0.062,0.0145,0.0
West Virginia,0.062,0.0145,0.065
Wisconsin,0.062,0.0145,0.0765
Wyoming,0.062,0.0145,0.0
